"","year","site","phenotype","id","ps_flor","n_ovu","polen_type","max_polen2","min_polen2","max_polen","min_polen","mean_polen","ns"
"50","2019","Concordia","174","2",11.8,3,"grano de polen",22.5,19.5,33.75,29.25,31.5,1
"51","2019","Concordia","174","3",9.7,4,"grano de polen",22.5,21,33.75,31.5,32.625,1
"52","2019","Concordia","174","4",12.8,2,"grano de polen",22.5,19.5,33.75,29.25,31.5,1
"53","2019","Concordia","174","5",11.2,4,"grano de polen",24,16.5,36,24.75,30.375,2
"54","2019","Concordia","174","6",8.7,5,"grano de polen",21,16.5,31.5,24.75,28.125,2
"55","2019","Concordia","174","7",13.1,3,"grano de polen",24,15,36,22.5,29.25,1
"56","2019","Concordia","174","8",14.2,3,"grano de polen",19.5,18,29.25,27,28.125,1
"57","2019","Concordia","174","9",12.6,3,"grano de polen",22.5,18,33.75,27,30.375,1
"58","2019","Concordia","174","10",16.5,6,"grano de polen",19.5,18,29.25,27,28.125,1
"59","2019","Concordia","174","11",NA,NA,NA,NA,NA,NA,NA,NA,3
"60","2019","Concordia","174","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"61","2019","Concordia","175","1",7.7,5,"grano de polen",16.5,13.5,24.75,20.25,22.5,1
"62","2019","Concordia","175","2",11,5,"grano de polen",21,15,31.5,22.5,27,1
"63","2019","Concordia","175","3",17,5,"grano de polen",21,19.5,31.5,29.25,30.375,1
"64","2019","Concordia","175","4",15.6,3,"grano de polen",21,18,31.5,27,29.25,1
"65","2019","Concordia","175","5",12,5,"grano de polen",18,13.5,27,20.25,23.625,1
