ANIO	REG	ACC	FEN	REP
2021	Concordia	154	863.352124937627	5
2021	Concordia	154	1022.178339756450	5
2021	Concordia	154	985.656803728594	5
2021	Concordia	154	931.299168710387	5
2021	Concordia	161	802.199785542143	5
2021	Concordia	161	911.764393625718	5
2021	Concordia	161	727.458037392108	5
2021	Concordia	161	716.586510388466	5
2021	Concordia	171	568.631822573282	5
2021	Concordia	171	871.845505409222	6
2021	Concordia	171	803.049123589303	7
2021	Concordia	171	896.476308776847	8
2021	Concordia	174	1670.010935227360	5
2021	Concordia	174	1701.861111995840	5
2021	Concordia	174	1863.235340956140	5
2021	Concordia	174	1370.619273603640	5
2021	Concordia	193	1861.111995838240	5
2021	Concordia	193	2684.969901582950	5
2021	Concordia	193	2120.160100221890	5
2021	Concordia	193	2546.952468919540	5
2021	Concordia	197	1506.513361149150	5
2021	Concordia	197	2474.758734910980	5
2021	Concordia	198	314.679746472593	5
2021	Concordia	198	281.555562633373	6
2021	Concordia	198	403.860241424340	7
2021	Concordia	198	304.487689906679	8
2021	Concordia	199	499.835440753363	5
2021	Concordia	199	500.684778800522	5
2021	Concordia	199	361.393339066365	5
2021	Concordia	199	460.765890584026	5
2021	Concordia	221	923.655126285951	5
2021	Concordia	221	1168.547596550270	5
2021	Concordia	221	966.122028643926	5
2021	Concordia	221	934.979633581411	5
2021	Concordia	222	332.515845462942	5
2021	Concordia	222	413.202959943094	5
2021	Concordia	222	308.734380142476	5
2021	Concordia	222	367.338705396482	5
2021	Concordia	223	1776.178191122290	5
2021	Concordia	223	761.431559278487	6
2021	Concordia	223	464.163242772664	7
2021	Concordia	223	875.242857597860	8
2021	Palmar	236	423.395016509008	5
2021	Palmar	236	416.600312131732	5
2021	Palmar	236	408.106931660137	5
2021	Palmar	236	436.984425263560	5
2021	Palmar	260	250.979392935631	5
2021	Palmar	260	272.212844114618	6
2021	Palmar	260	376.681423915236	7
2021	Palmar	260	238.239322228238	8
2021	Palmar	261	269.664829973140	5
2021	Palmar	261	392.818846811266	5
2021	Palmar	261	397.914875094223	5
2021	Palmar	261	283.254238727692	5
2021	Palmar	262	494.739412470406	5
2021	Palmar	262	272.212844114618	5
2021	Palmar	262	271.363506067459	5
2021	Palmar	262	202.567124247540	5
2021	Palmar	268	295.144971387924	5
2021	Palmar	268	310.433056236795	5
2021	Palmar	268	269.664829973140	5
2021	Palmar	268	231.444617850962	5
2021	Palmar	271	255.226083171428	5
2021	Palmar	271	255.226083171428	5
2021	Palmar	271	269.664829973140	5
2021	Palmar	271	262.020787548704	5
2021	Palmar	272	729.156713486426	5
2021	Palmar	272	476.053975432897	5
2021	Palmar	272	430.189720886284	5
2021	Palmar	272	523.616906073829	5
2021	Palmar	274	742.109118705609	5
2021	Palmar	274	672.038729814950	5
2021	Palmar	274	472.444288732469	5
2021	Palmar	274	451.210837553482	5
2021	Palmar	276	288.350267010649	5
2021	Palmar	276	320.625112802709	5
2021	Palmar	276	330.817169368623	5
2021	Palmar	276	304.487689906679	5
2021	Palmar	280	334.214521557261	5
2021	Palmar	280	410.654945801616	5
2021	Palmar	280	481.999341763013	5
2021	Palmar	280	291.747619199286	5
2021	Palmar	284	550.795723582933	5
2021	Palmar	284	445.477805735155	6
2021	Palmar	284	384.325466339671	7
2021	Palmar	284	425.093692603327	8
2021	Palmar	285	354.598634689089	5
2021	Palmar	285	352.899958594770	6
2021	Palmar	285	380.928114151034	7
2021	Palmar	285	384.325466339671	8
2021	Palmar	286	1090.337718041000	5
2021	Palmar	286	1171.024832521150	5
2021	Palmar	286	892.866622076419	5
2021	Palmar	286	1073.350957097810	5
2021	Palmar	287	865.263135543736	5
2021	Palmar	287	916.223418373305	5
2021	Palmar	287	986.293807263963	5
2021	Palmar	287	638.065207928571	5
2021	Palmar	288	254.376745124269	5
2021	Palmar	288	296.843647482244	5
2021	Palmar	288	288.350267010649	5
2021	Palmar	288	139.716108757737	5
2021	Palmar	289	602.605344459662	5
2021	Palmar	289	803.049123589303	5
2021	Palmar	289	594.111963988067	5
2021	Palmar	289	661.209669713667	5
2021	Palmar	290	216.156533002091	5
2021	Palmar	290	217.005871049251	5
2021	Palmar	290	226.348589568005	5
2021	Palmar	290	258.623435360066	5
2021	Gualeguaychu	305	239.937998322557	5
2021	Gualeguaychu	305	241.636674416876	5
2021	Gualeguaychu	305	237.389984181079	5
2021	Gualeguaychu	305	241.636674416876	5
2021	Gualeguaychu	306	1032.653509004750	5
2021	Gualeguaychu	306	1123.249567368430	5
2021	Gualeguaychu	306	998.679987118373	5
2021	Gualeguaychu	306	855.708082513191	5
2021	Gualeguaychu	321	276.459534350416	5
2021	Gualeguaychu	321	289.199605057808	5
2021	Gualeguaychu	321	270.514168020299	5
2021	Gualeguaychu	321	242.486012464036	5
2021	Gualeguaychu	324	372.434733679439	5
2021	Gualeguaychu	324	317.227760614071	5
2021	Gualeguaychu	324	331.666507415783	5
2021	Gualeguaychu	324	320.625112802709	5
2021	Gualeguaychu	325	396.216198999904	5
2021	Gualeguaychu	325	384.325466339671	5
2021	Gualeguaychu	325	407.257593612978	5
2021	Gualeguaychu	325	449.724495970953	5
2021	Gualeguaychu	331	362.242677113525	5
2021	Gualeguaychu	331	503.232792942001	6
2021	Gualeguaychu	331	424.244354556168	7
2021	Gualeguaychu	331	399.613551188542	8
2021	Gualeguaychu	337	538.904990922700	5
2021	Gualeguaychu	337	468.409933008462	5
2021	Gualeguaychu	337	508.328821224958	5
2021	Gualeguaychu	337	521.918229979510	5
2021	Gualeguaychu	348	285.802252869170	5
2021	Gualeguaychu	348	266.267477784502	5
2021	Gualeguaychu	348	273.062182161778	5
2021	Gualeguaychu	348	262.870125595864	5
2021	Gualeguaychu	357	1523.854012945330	5
2021	Gualeguaychu	357	857.123645925124	5
2021	Gualeguaychu	357	966.122028643926	5
2021	Gualeguaychu	357	954.797521348466	5
2021	Gualeguaychu	362	311.282394283955	5
2021	Gualeguaychu	362	348.653268358973	5
2021	Gualeguaychu	362	318.077098661231	5
2021	Gualeguaychu	362	380.078776103874	5
2021	Gualeguaychu	363	411.504283848775	5
2021	Gualeguaychu	363	357.995986877727	5
2021	Gualeguaychu	363	638.277542440361	5
2021	Gualeguaychu	363	497.287426611884	5
2021	Gualeguaychu	364	527.863596309626	5
2021	Gualeguaychu	364	457.368538395388	5
2021	Gualeguaychu	364	638.277542440361	5
2021	Gualeguaychu	364	544.001019205657	5
2021	Gualeguaychu	390	380.078776103874	5
2021	Gualeguaychu	390	470.108609102781	6
2021	Gualeguaychu	390	431.888396980603	7
2021	Gualeguaychu	390	472.656623244259	8
2021	Gualeguaychu	392	354.598634689089	5
2021	Gualeguaychu	392	330.817169368623	5
2021	Gualeguaychu	392	217.855209096411	5
2021	Gualeguaychu	392	319.775774755550	5
2021	Gualeguaychu	395	1086.444918658190	5
2021	Gualeguaychu	395	1586.138803070360	5
2021	Gualeguaychu	395	1543.671900712380	5
2021	Gualeguaychu	395	959.044211584263	5
2021	Gualeguaychu	396	473.505961291418	5
2021	Gualeguaychu	396	585.618583516472	5
2021	Gualeguaychu	396	570.330498667601	5
2021	Gualeguaychu	396	448.875157923793	5
2019	Concordia	154	405.346583006869	1
2019	Concordia	154	266.055143272712	2
2019	Concordia	154	402.373899841811	3
2019	Concordia	154	248.643713305942	4
2019	Concordia	156	295.428084070311	1
2019	Concordia	156	233.143293945281	2
2019	Concordia	156	293.446295293606	3
2019	Concordia	156	242.486012464036	4
2019	Concordia	161	252.961181712336	1
2019	Concordia	161	466.711256914142	2
2019	Concordia	161	304.487689906679	3
2019	Concordia	161	211.343617401521	4
2019	Concordia	171	439.532439405039	1
2019	Concordia	171	498.136764659044	2
2019	Concordia	171	262.020787548704	3
2019	Concordia	171	277.308872397575	4
2019	Concordia	174	216.156533002091	1
2019	Concordia	174	487.095370045970	2
2019	Concordia	174	245.034026605514	3
2019	Concordia	174	249.280716841312	4
2019	Concordia	175	1593.570510983000	1
2019	Concordia	175	401.099892771071	2
2019	Concordia	175	3294.369950419890	3
2019	Concordia	178	943.826904905989	1
2019	Concordia	178	1784.671571593890	2
2019	Concordia	178	1604.187236572500	3
2019	Concordia	178	803.686127124672	4
2019	Concordia	185	868.448153220584	1
2019	Concordia	185	670.552388232421	2
2019	Concordia	185	1080.782665010460	3
2019	Concordia	185	1274.431739762820	4
2019	Concordia	193	460.765890584026	1
2019	Concordia	193	1193.744625282670	2
2019	Concordia	193	1174.209850198000	3
2019	Concordia	193	574.577188903398	4
2019	Concordia	197	259.189660724839	1
2019	Concordia	197	1003.492902718940	2
2019	Concordia	197	359.694662972046	3
2019	Concordia	197	348.653268358973	4
2019	Concordia	198	170.292278455479	1
2019	Concordia	198	151.889954100356	2
2019	Concordia	198	323.456239626574	3
2019	Concordia	198	215.873420319705	4
2019	Concordia	199	248.714491476539	1
2019	Concordia	199	196.621757917423	2
2019	Concordia	199	109.706164424768	3
2019	Concordia	199	206.247589118564	4
2019	Concordia	208	1815.460075803420	1
2019	Concordia	208	1210.731386225860	2
2019	Concordia	208	1202.238005754270	3
2019	Concordia	208	1768.746483209650	4
2019	Palmar	260	364.578356743213	1
2019	Palmar	260	340.796891422747	2
2019	Palmar	260	383.688462804302	3
2019	Palmar	260	334.002187045471	4
2019	Palmar	261	453.334182671381	1
2019	Palmar	261	333.152848998312	1
2019	Palmar	261	281.767897145163	1
2019	Palmar	261	414.264632502044	1
2019	Palmar	262	506.842479642429	1
2019	Palmar	262	412.565956407725	1
2019	Palmar	262	480.937669204064	1
2019	Palmar	262	367.126370884692	1
2019	Palmar	268	277.096537885785	1
2019	Palmar	268	499.198437217993	2
2019	Palmar	268	359.482328460256	3
2019	Palmar	268	250.767058423841	4
2019	Palmar	271	395.154526440955	1
2019	Palmar	271	286.863925428119	1
2019	Palmar	271	307.248038559947	1
2019	Palmar	271	268.603157414190	1
2019	Palmar	272	611.948062978416	1
2019	Palmar	272	475.841640921107	2
2019	Palmar	272	332.728179974732	3
2019	Palmar	272	387.085814992940	4
2019	Palmar	274	951.683281842214	1
2019	Palmar	274	735.951417863703	1
2019	Palmar	274	333.577518021892	1
2019	Palmar	274	335.276194116211	1
2019	Palmar	276	308.522045630687	1
2019	Palmar	276	436.347421728191	2
2019	Palmar	276	253.739741588899	3
2019	Palmar	276	295.781974923294	4
2019	Palmar	280	409.168604219087	1
2019	Palmar	280	376.469089403446	1
2019	Palmar	280	514.911191090444	1
2019	Palmar	280	438.046097822510	1
2019	Palmar	281	932.148506757546	1
2019	Palmar	281	761.431559278487	1
2019	Palmar	281	823.433236721130	1
2019	Palmar	281	982.259451539956	1
2019	Palmar	284	797.953095306346	1
2019	Palmar	284	639.126880487520	1
2019	Palmar	284	535.507638734062	1
2019	Palmar	284	296.206643946874	1
2019	Palmar	285	407.469928124768	1
2019	Palmar	285	441.868119034727	2
2019	Palmar	285	442.929791593677	3
2019	Palmar	285	404.072575936130	4
2019	Palmar	286	381.777452198193	1
2019	Palmar	286	443.779129640836	2
2019	Palmar	286	434.224076610292	3
2019	Palmar	286	315.316750007963	4
2019	Palmar	287	230.382945292013	1
2019	Palmar	287	210.848170207345	2
2019	Palmar	287	215.094860443142	3
2019	Palmar	287	173.052627108747	4
2019	Palmar	288	457.580872907178	1
2019	Palmar	288	442.292788058307	1
2019	Palmar	288	385.387138898621	1
2019	Palmar	288	418.511322737841	1
2019	Palmar	289	216.793536537461	1
2019	Palmar	289	227.834931150535	1
2019	Palmar	289	378.167765497765	1
2019	Palmar	289	175.175972226646	1
2019	Gualeguaychu	305	186.642035863299	1
2019	Gualeguaychu	305	207.875487042286	2
2019	Gualeguaychu	305	244.821692093724	3
2019	Gualeguaychu	305	279.644552027264	4
2019	Gualeguaychu	306	872.694843456381	1
2019	Gualeguaychu	306	2962.066439468740	1
2019	Gualeguaychu	306	2091.494941130260	1
2019	Gualeguaychu	306	3085.220456306870	1
2019	Gualeguaychu	321	424.456689067958	1
2019	Gualeguaychu	321	525.103247656358	1
2019	Gualeguaychu	321	565.871473920014	1
2019	Gualeguaychu	321	437.621428798930	1
