A	REG	ACC	O
2021	Palmar	272	7
2021	Palmar	272	8
2021	Palmar	272	7
2021	Palmar	272	7
2021	Palmar	272	8
2021	Palmar	272	5
2021	Palmar	272	7
2021	Palmar	272	7
2021	Palmar	274	5
2021	Palmar	274	3
2021	Palmar	274	1
2021	Palmar	274	2
2021	Palmar	274	7
2021	Palmar	274	5
2021	Palmar	274	6
2021	Palmar	274	4
2021	Palmar	274	0
2021	Palmar	274	5
2021	Palmar	276	4
2021	Palmar	276	7
2021	Palmar	276	6
2021	Palmar	276	7
2021	Palmar	276	5
2021	Palmar	276	9
2021	Palmar	276	7
2021	Palmar	276	6
2021	Palmar	276	9
2021	Palmar	276	7
2021	Palmar	280	3
2021	Palmar	280	5
2021	Palmar	280	2
2021	Palmar	280	6
2021	Palmar	280	3
2021	Palmar	280	3
2021	Palmar	280	3
2021	Palmar	280	5
2021	Palmar	280	3
2021	Palmar	280	5
2021	Palmar	281	4
2021	Palmar	281	6
2021	Palmar	281	5
2021	Palmar	281	4
2021	Palmar	281	5
2021	Palmar	281	8
2021	Palmar	281	5
2021	Palmar	281	8
2021	Palmar	281	5
2021	Palmar	281	4
2021	Palmar	284	5
2021	Palmar	284	5
2021	Palmar	284	4
2021	Palmar	284	1
2021	Palmar	284	5
2021	Palmar	284	7
2021	Palmar	284	3
2021	Palmar	284	4
2021	Palmar	284	1
2021	Palmar	284	5
2021	Palmar	285	4
2021	Palmar	285	7
2021	Palmar	285	3
2021	Palmar	285	4
2021	Palmar	285	4
2021	Palmar	285	4
2021	Palmar	285	9
2021	Palmar	285	4
2021	Palmar	285	4
2021	Palmar	285	4
2021	Palmar	286	3
2021	Palmar	286	6
2021	Palmar	286	4
2021	Palmar	286	4
2021	Palmar	286	3
2021	Palmar	286	4
2021	Palmar	286	6
2021	Palmar	286	6
2021	Palmar	286	5
2021	Palmar	286	5
2021	Palmar	287	3
2021	Palmar	287	3
2021	Palmar	287	4
2021	Palmar	287	4
2021	Palmar	287	7
2021	Palmar	287	6
2021	Palmar	287	6
2021	Palmar	287	6
2021	Palmar	287	1
2021	Palmar	287	6
2021	Palmar	288	8
2021	Palmar	288	5
2021	Palmar	288	4
2021	Palmar	288	6
2021	Palmar	288	5
2021	Palmar	288	5
2021	Palmar	288	5
2021	Palmar	288	4
2021	Palmar	288	6
2021	Palmar	288	6
2019	Gualeguaychu	305	6
2019	Gualeguaychu	305	7
2019	Gualeguaychu	305	2
2019	Gualeguaychu	305	6
2019	Gualeguaychu	305	5
2019	Gualeguaychu	305	0
2019	Gualeguaychu	305	5
2019	Gualeguaychu	305	3
2019	Gualeguaychu	305	6
2019	Gualeguaychu	305	0
2019	Gualeguaychu	305	4
2019	Gualeguaychu	306	4
2019	Gualeguaychu	306	4
2019	Gualeguaychu	306	4
2019	Gualeguaychu	306	3
2019	Gualeguaychu	306	5
2019	Gualeguaychu	306	3
2019	Gualeguaychu	306	5
2019	Gualeguaychu	306	6
2019	Gualeguaychu	306	5
2019	Gualeguaychu	306	6
2019	Gualeguaychu	321	4
2019	Gualeguaychu	321	6
2019	Gualeguaychu	321	5
2019	Gualeguaychu	321	1
2019	Gualeguaychu	321	9
2019	Gualeguaychu	321	5
2019	Gualeguaychu	321	3
2019	Gualeguaychu	321	6
2019	Gualeguaychu	321	4
2019	Gualeguaychu	321	4
2019	Gualeguaychu	324	6
2019	Gualeguaychu	324	4
2019	Gualeguaychu	324	7
2019	Gualeguaychu	324	0
2019	Gualeguaychu	324	5
2019	Gualeguaychu	324	2
2019	Gualeguaychu	324	4
2019	Gualeguaychu	324	5
2019	Gualeguaychu	324	0
2019	Gualeguaychu	324	6
2019	Gualeguaychu	325	5
2019	Gualeguaychu	325	0
2019	Gualeguaychu	325	0
2019	Gualeguaychu	325	2
2019	Gualeguaychu	325	5
2019	Gualeguaychu	325	3
2019	Gualeguaychu	325	3
2019	Gualeguaychu	325	4
2019	Gualeguaychu	325	6
2019	Gualeguaychu	325	4
2019	Gualeguaychu	331	2
2019	Gualeguaychu	331	2
2019	Gualeguaychu	331	5
2019	Gualeguaychu	331	5
2019	Gualeguaychu	331	3
2019	Gualeguaychu	331	8
2019	Gualeguaychu	331	9
2019	Gualeguaychu	331	6
2019	Gualeguaychu	331	5
2019	Gualeguaychu	331	0
2019	Gualeguaychu	337	5
2019	Gualeguaychu	337	4
2019	Gualeguaychu	337	3
2019	Gualeguaychu	337	3
2019	Gualeguaychu	337	6
2019	Gualeguaychu	337	6
2019	Gualeguaychu	337	5
2019	Gualeguaychu	337	6
2019	Gualeguaychu	337	5
2019	Gualeguaychu	337	3
2019	Gualeguaychu	348	1
2019	Gualeguaychu	348	0
2019	Gualeguaychu	348	4
2019	Gualeguaychu	348	2
2019	Gualeguaychu	348	1
2019	Gualeguaychu	348	6
2019	Gualeguaychu	348	6
2019	Gualeguaychu	348	1
2019	Gualeguaychu	348	4
2019	Gualeguaychu	348	3
2019	Gualeguaychu	357	2
2019	Gualeguaychu	357	3
2019	Gualeguaychu	357	4
2019	Gualeguaychu	357	4
2019	Gualeguaychu	357	3
2019	Gualeguaychu	357	6
2019	Gualeguaychu	357	4
2019	Gualeguaychu	357	4
2019	Gualeguaychu	357	4
2019	Gualeguaychu	357	5
2019	Gualeguaychu	359	3
2019	Gualeguaychu	359	4
2019	Gualeguaychu	359	2
2019	Gualeguaychu	359	3
2019	Gualeguaychu	359	2
2019	Gualeguaychu	359	2
2019	Gualeguaychu	359	1
2019	Gualeguaychu	359	4
2019	Gualeguaychu	359	4
2019	Gualeguaychu	359	4
2019	Gualeguaychu	362	4
2019	Gualeguaychu	362	5
2019	Gualeguaychu	362	5
2019	Gualeguaychu	362	5
2019	Gualeguaychu	362	5
2019	Gualeguaychu	362	4
2019	Gualeguaychu	362	4
2019	Gualeguaychu	362	5
2019	Gualeguaychu	362	4
2019	Gualeguaychu	362	5
2019	Gualeguaychu	363	4
2019	Gualeguaychu	363	4
2019	Gualeguaychu	363	6
2019	Gualeguaychu	363	4
2019	Gualeguaychu	363	5
2019	Gualeguaychu	363	4
2019	Gualeguaychu	363	4
2019	Gualeguaychu	363	5
2019	Gualeguaychu	363	3
2019	Gualeguaychu	363	4
2019	Gualeguaychu	364	6
2019	Gualeguaychu	364	3
2019	Gualeguaychu	364	2
2019	Gualeguaychu	364	4
2019	Gualeguaychu	364	4
2019	Gualeguaychu	364	6
2019	Gualeguaychu	364	4
2019	Gualeguaychu	364	6
2019	Gualeguaychu	364	3
2019	Gualeguaychu	364	4
2021	Gualeguaychu	305	4
2021	Gualeguaychu	305	4
2021	Gualeguaychu	305	4
2021	Gualeguaychu	305	5
2021	Gualeguaychu	305	5
2021	Gualeguaychu	305	5
2021	Gualeguaychu	305	5
2021	Gualeguaychu	305	4
2021	Gualeguaychu	305	6
2021	Gualeguaychu	305	6
2021	Gualeguaychu	306	7
2021	Gualeguaychu	306	5
2021	Gualeguaychu	306	5
2021	Gualeguaychu	306	5
2021	Gualeguaychu	306	6
2021	Gualeguaychu	306	6
2021	Gualeguaychu	306	6
2021	Gualeguaychu	306	6
2021	Gualeguaychu	306	7
2021	Gualeguaychu	306	5
2021	Gualeguaychu	321	4
2021	Gualeguaychu	321	3
2021	Gualeguaychu	321	7
2021	Gualeguaychu	321	4
2021	Gualeguaychu	321	3
2021	Gualeguaychu	321	2
2021	Gualeguaychu	321	5
2021	Gualeguaychu	321	3
2021	Gualeguaychu	321	3
2021	Gualeguaychu	321	4
2021	Gualeguaychu	324	7
2021	Gualeguaychu	324	5
2021	Gualeguaychu	324	5
2021	Gualeguaychu	324	6
2021	Gualeguaychu	324	6
2021	Gualeguaychu	324	7
2021	Gualeguaychu	324	5
2021	Gualeguaychu	324	5
2021	Gualeguaychu	324	3
2021	Gualeguaychu	324	3
2021	Gualeguaychu	325	9
2021	Gualeguaychu	325	8
2021	Gualeguaychu	325	4
2021	Gualeguaychu	325	6
2021	Gualeguaychu	331	8
2021	Gualeguaychu	331	7
2021	Gualeguaychu	331	5
2021	Gualeguaychu	331	8
2021	Gualeguaychu	331	7
2021	Gualeguaychu	331	8
2021	Gualeguaychu	331	8
2021	Gualeguaychu	331	7
2021	Gualeguaychu	331	5
2021	Gualeguaychu	331	8
2021	Gualeguaychu	337	5
2021	Gualeguaychu	337	5
2021	Gualeguaychu	337	3
2021	Gualeguaychu	337	8
2021	Gualeguaychu	337	6
2021	Gualeguaychu	337	5
2021	Gualeguaychu	337	7
2021	Gualeguaychu	337	5
2021	Gualeguaychu	337	6
2021	Gualeguaychu	337	6
2021	Gualeguaychu	348	5
2021	Gualeguaychu	348	4
2021	Gualeguaychu	348	4
2021	Gualeguaychu	348	4
2021	Gualeguaychu	348	3
2021	Gualeguaychu	348	4
2021	Gualeguaychu	348	2
2021	Gualeguaychu	348	6
2021	Gualeguaychu	348	4
2021	Gualeguaychu	348	4
2021	Gualeguaychu	357	3
2021	Gualeguaychu	357	5
2021	Gualeguaychu	357	6
2021	Gualeguaychu	357	3
2021	Gualeguaychu	357	5
2021	Gualeguaychu	362	4
2021	Gualeguaychu	362	3
2021	Gualeguaychu	362	3
2021	Gualeguaychu	362	4
2021	Gualeguaychu	362	2
2021	Gualeguaychu	362	4
2021	Gualeguaychu	362	4
2021	Gualeguaychu	362	3
2021	Gualeguaychu	362	4
2021	Gualeguaychu	362	4
2021	Gualeguaychu	363	5
2021	Gualeguaychu	363	6
2021	Gualeguaychu	363	4
2021	Gualeguaychu	363	2
2021	Gualeguaychu	363	4
2021	Gualeguaychu	363	4
2021	Gualeguaychu	363	5
2021	Gualeguaychu	363	4
2021	Gualeguaychu	363	7
2021	Gualeguaychu	363	6
2021	Gualeguaychu	364	7
2021	Gualeguaychu	364	5
2021	Gualeguaychu	364	4
2021	Gualeguaychu	364	5
2021	Gualeguaychu	364	5
2021	Gualeguaychu	364	6
2021	Gualeguaychu	364	6
2021	Gualeguaychu	364	4
2021	Gualeguaychu	364	6
2021	Gualeguaychu	364	4
