YEAR	REG	ACC	N	PFF	DE
2019	Palmar	260	11	12.288	32.57
2019	Palmar	260	12	8.335	27.71
2019	Palmar	261	1	6.765	26.05
2019	Palmar	261	2	5.022	25.01
2019	Palmar	261	3	3.719	20.16
2019	Palmar	261	4	6.032	20
2019	Palmar	261	5	4.816	23.74
2019	Palmar	261	6	2.333	17.55
2019	Palmar	261	7	14.268	36.95
2019	Palmar	261	8	12.314	34.26
2019	Palmar	261	9	12.968	34.34
2019	Palmar	262	1	1.837	16.5
2019	Palmar	262	2	11.025	32.51
2019	Palmar	262	3	6.746	24.97
2019	Palmar	262	4	4.258	22.46
2019	Palmar	262	5	5.2	21.74
2019	Palmar	262	6	6.824	25.28
2019	Palmar	268	1	9.686	28.07
2019	Palmar	268	2	9.397	27.59
2019	Palmar	268	3	11.124	30.87
2019	Palmar	268	4	9.313	28.11
2019	Palmar	268	5	11.7	28.96
2019	Palmar	268	6	6.124	23.5
2019	Palmar	268	7	9.001	30.18
2019	Palmar	268	8	7.668	26.22
2019	Palmar	268	9	4.985	23.37
2019	Palmar	268	10	9.069	28.59
2019	Palmar	268	11	7.416	27.4
2019	Palmar	268	12	8.174	26.93
2019	Palmar	271	1	2.07	16.15
2019	Palmar	271	2	17.949	35.94
2019	Palmar	271	3	11.971	35.52
2019	Palmar	271	4	25.816	41.24
2019	Palmar	271	5	13.827	37.6
2019	Palmar	271	6	8.155	27.71
2019	Palmar	272	1	19.637	41.04
2019	Palmar	272	2	3.658	19.04
2019	Palmar	272	3	12.931	34.09
2019	Palmar	272	4	20.081	40.08
2019	Palmar	272	5	7.262	28.38
2019	Palmar	272	6	5.072	22.65
2019	Palmar	272	7	16.912	37.01
2019	Palmar	272	8	9.774	31.02
2019	Palmar	272	9	4.6	19.27
2019	Palmar	272	10	15.535	33.62
2019	Palmar	272	11	13.367	33.28
2019	Palmar	272	12	16.381	34.91
2019	Palmar	274	1	10.291	29.19
2019	Palmar	274	2	6.657	23.91
2019	Palmar	274	3	5.361	21.57
2019	Palmar	274	4	6.28	25.92
2019	Palmar	274	5	4.267	22.12
2019	Palmar	274	6	6.217	27.43
2019	Palmar	274	7	7.093	25.066
2019	Palmar	274	8	8.244	26.62
2019	Palmar	274	9	5.376	25
2019	Palmar	274	10	6.862	24.71
2019	Palmar	274	11	10.84	30.14
2019	Palmar	274	12	7.814	26.74
2019	Palmar	276	1	7.598	27.95
2019	Palmar	276	2	20.43	41.38
2019	Palmar	276	3	11.854	31.94
2019	Palmar	276	4	10.177	29.71
2019	Palmar	276	5	5.112	22.15
2019	Palmar	276	6	17.382	42
2019	Palmar	276	7	15.822	39.93
2019	Palmar	276	8	8.372	32.13
2019	Palmar	276	9	11.352	35.1
2019	Palmar	276	10	16.151	38.56
2019	Palmar	276	11	18.926	40.47
2019	Palmar	276	12	9.778	30.54
2019	Palmar	280	1	11.816	35.51
2019	Palmar	280	2	6	23.37
2019	Palmar	280	3	11.949	32.89
2019	Palmar	280	4	2.057	18.27
2019	Palmar	280	5	3.565	20.25
2019	Palmar	280	6	8.517	27.26
2019	Palmar	280	7	2.409	16.88
2019	Palmar	280	8	4.856	22.16
2019	Palmar	280	9	3.609	19.89
2019	Palmar	281	1	10.544	26.68
2019	Palmar	281	2	5.841	19.47
2019	Palmar	281	3	5.916	23.77
2019	Palmar	281	4	6.586	23.92
2019	Palmar	281	5	4.627	20.5
2019	Palmar	281	6	6.027	23.37
2019	Palmar	284	1	21.666	43.2
2019	Palmar	284	2	19.685	36.54
2019	Palmar	284	3	17.405	35.07
2019	Palmar	284	4	10.56	27.02
2019	Palmar	284	5	8.103	26.98
2019	Palmar	284	6	5.378	22.96
2019	Palmar	284	7	13.604	35.17
2019	Palmar	284	8	9.536	28.38
2019	Palmar	284	9	9.128	29.33
2019	Palmar	285	1	4.228	20.55
2019	Palmar	285	2	10.324	29.7
2019	Palmar	285	3	12.021	31.67
2019	Palmar	285	4	25.235	42.53
2019	Palmar	285	5	13.393	30.05
2019	Palmar	285	6	9.361	27.72
2019	Palmar	285	7	10.011	28.01
2019	Palmar	285	8	12.524	32.01
2019	Palmar	285	9	12.642	30.44
2019	Palmar	285	10	14.587	34.42
2019	Palmar	285	11	9.682	28.93
2019	Palmar	285	12	8.051	26.06
2019	Palmar	286	1	0.439	10.48
2019	Palmar	286	2	18.246	34.54
2019	Palmar	286	3	17.56	33.55
2019	Palmar	286	4	13.546	32.7
2019	Palmar	286	5	12.854	35.008
2019	Palmar	286	6	13.672	32.65
2019	Palmar	286	7	6.466	25.16
2019	Palmar	286	8	6.645	25.39
2019	Palmar	286	9	7.183	26.61
2019	Palmar	286	10	8.726	30.49
2019	Palmar	286	11	4.49	21.72
2019	Palmar	286	12	1.999	16.62
2019	Palmar	287	1	5.372	24.29
2019	Palmar	287	2	17.886	36.52
2019	Palmar	287	3	11.47	30.14
2019	Palmar	287	4	4.709	23.84
2019	Palmar	287	5	8.639	27.8
2019	Palmar	287	6	12.297	31.88
2019	Palmar	287	7	6.33	24.77
2019	Palmar	287	8	11.06	29.98
2019	Palmar	287	9	7.953	27.36
2019	Palmar	287	10	10.995	29.75
2019	Palmar	287	11	12.038	33.4
2019	Palmar	287	12	10.997	30.41
2019	Palmar	288	1	0.562	10.38
2019	Palmar	288	2	14.06	37.05
2019	Palmar	288	3	12.768	33.99
2019	Palmar	288	4	13.855	34.9
2019	Palmar	288	5	5.32	23.11
2019	Palmar	288	6	11.686	31.85
2019	Palmar	288	7	8.79	28.5
2019	Palmar	288	8	5.536	23.7
2019	Palmar	289	1	42.87	44.33
2019	Palmar	289	2	20.899	36.83
2019	Palmar	289	3	27.642	39.94
2019	Palmar	289	4	21.816	36.29
2019	Palmar	289	5	10.133	25.74
2019	Palmar	289	6	29.84	38.86
2019	Palmar	289	7	21.4	35.29
2019	Gualeguaychu	305	1	18.978	35.07
2019	Gualeguaychu	305	2	15.546	36.28
2019	Gualeguaychu	305	3	7.611	25.86
2019	Gualeguaychu	305	4	24.371	40.6
2019	Gualeguaychu	305	5	24.109	39.32
2019	Gualeguaychu	305	6	21.746	31.75
2019	Gualeguaychu	305	7	28.768	42.72
2019	Gualeguaychu	305	8	12.655	31.04
2019	Gualeguaychu	305	9	14.505	31.42
2019	Gualeguaychu	305	10	21.116	37.52
2019	Gualeguaychu	305	11	15.969	33.08
2019	Gualeguaychu	305	12	13.556	31.45
2019	Gualeguaychu	306	1	5.588	21.62
2019	Gualeguaychu	306	2	3.044	18.23
2019	Gualeguaychu	306	3	4.848	21.14
2019	Gualeguaychu	306	4	6.111	22.71
2019	Gualeguaychu	306	5	1.508	14.42
2019	Gualeguaychu	306	6	2.592	16.46
2019	Gualeguaychu	306	7	2.392	17.46
2019	Gualeguaychu	306	8	3.082	16.85
2019	Gualeguaychu	306	9	1.228	13.21
2019	Gualeguaychu	321	1	4.794	22.83
2019	Gualeguaychu	321	2	3.298	19.39
2019	Gualeguaychu	321	3	6.647	25.24
2019	Gualeguaychu	321	4	4.144	21.83
2019	Gualeguaychu	321	5	11.432	29.08
2019	Gualeguaychu	321	6	6.399	26.03
2019	Gualeguaychu	324	1	6.117	21.23
2019	Gualeguaychu	324	2	8.44	24.58
2019	Gualeguaychu	324	3	6.03	23.43
2019	Gualeguaychu	324	4	8.922	26.58
2019	Gualeguaychu	324	5	10.105	26.42
2019	Gualeguaychu	324	6	21.09	36.14
2019	Gualeguaychu	324	7	19.899	34.69
2019	Gualeguaychu	324	8	17.745	34.54
2019	Gualeguaychu	324	9	11.384	29.99
2019	Gualeguaychu	324	10	29.443	39.68
2019	Gualeguaychu	325	1	14.28	36.14
2019	Gualeguaychu	325	2	3.936	19.57
2019	Gualeguaychu	325	3	7.202	23.63
2019	Gualeguaychu	325	4	5.967	22.57
2019	Gualeguaychu	325	5	5.454	22.42
2019	Gualeguaychu	325	6	6.527	24.62
2019	Gualeguaychu	325	7	1.588	13.82
2019	Gualeguaychu	325	8	8.04	23.43
2019	Gualeguaychu	325	9	5.14	21.65
2019	Gualeguaychu	331	1	8	25.34
2019	Gualeguaychu	331	2	4.057	21.36
2019	Gualeguaychu	331	3	3.536	20.37
2019	Gualeguaychu	331	4	3.868	20.91
2019	Gualeguaychu	331	5	4.038	20.98
2019	Gualeguaychu	331	6	5.322	23.27
2019	Gualeguaychu	331	7	4.918	21.11
2019	Gualeguaychu	331	8	4.631	22.13
2019	Gualeguaychu	331	9	4.583	20.55
2019	Gualeguaychu	331	10	7.437	25.5
2019	Gualeguaychu	331	11	5.295	24.39
2019	Gualeguaychu	331	12	9.794	20.2
2019	Gualeguaychu	337	1	5.375	23.23
2019	Gualeguaychu	337	2	13.07	33.61
2019	Gualeguaychu	337	3	6.339	24.3
2019	Gualeguaychu	337	4	5.572	22.73
2019	Gualeguaychu	337	5	3.119	19.55
2019	Gualeguaychu	337	6	2.23	17.06
2019	Gualeguaychu	337	7	11.495	29.84
2019	Gualeguaychu	337	8	2.066	17.3
2019	Gualeguaychu	337	9	3.09	19.9
2019	Gualeguaychu	348	1	2.452	16.48
2019	Gualeguaychu	348	2	6.533	23.93
2019	Gualeguaychu	348	3	10.429	27.24
2019	Gualeguaychu	351	1	2.896	17.31
2019	Gualeguaychu	351	2	0.52	9.94
2019	Gualeguaychu	359	1	0.728	11.03
2019	Gualeguaychu	362	1	6.204	25.38
2019	Gualeguaychu	362	2	0.56	11.4
2019	Gualeguaychu	362	3	2.182	17.26
2019	Gualeguaychu	362	4	1.981	11.02
2019	Gualeguaychu	362	5	5.584	22.77
2019	Gualeguaychu	362	6	1.713	15.32
2019	Gualeguaychu	363	1	0.724	11.44
2019	Gualeguaychu	363	2	20.593	35.95
2019	Gualeguaychu	363	3	15.987	33.02
2019	Gualeguaychu	363	4	5.474	24.06
2019	Gualeguaychu	363	5	9.175	26.95
2019	Gualeguaychu	363	6	10.294	27.76
2019	Gualeguaychu	363	7	4.916	22.37
2019	Gualeguaychu	363	8	13.806	29.18
2019	Gualeguaychu	363	9	10.146	26.37
2019	Gualeguaychu	364	1	0.716	11.5
2019	Gualeguaychu	364	2	1.834	15.37
2019	Gualeguaychu	364	3	0.991	12.63
2019	Gualeguaychu	364	4	1.354	13.73
2019	Gualeguaychu	364	5	0.898	12.45
2019	Gualeguaychu	364	6	1.768	15.76
