PSFL	DMAP	DMIP	NO	NS	NS/NO	NFL/cm	NFR/NFL	PSS	PSF	PSS/PSF
13.74	22.725	22.275	5.2	1.16666666666667	0.218253968253968	1.1875	0.0147058823529412	2.0275	2.818	0.662951859438323
18.49	23.4	21.825	5.44444444444444	1.1	0.21031746031746	2.76388888888889	0.122710622710623	0.899666666666667	1.4475	0.621695264866478
11.44	23.625	22.05	4.7	1.3	0.339444444444444	3.64375	0	1.06033333333333	1.61608333333333	0.63285797113186
15.02	20.7	20.25	5.9	1.7	0.285	2.6235119047619	0.0078125	1.17483333333333	2.08041666666667	0.479833480943471
12.94	20.925	20.25	6.6	1.8	0.272142857142857	2.66666666666667	0.0458333333333333	1.2895	2.44675	0.494724841205326
10.6875	24.75	22.5	7.9	1.9	0.256829004329004	2.14502164502164	0.0357142857142857	0.43275	1.37283333333333	0.304650052207602
14.72	26.1	24.525	4	2.3	0.644761904761905	5.625	0	0.520083333333333	1.09358333333333	0.427211418559446
12.725	20.475	19.125	4.1	1.25	0.320833333333333	2.55	0	1.710625	2.60375	0.581276934435598
17.33	24.525	22.95	3.5	1.16666666666667	0.388888888888889	2.5	0	1.25733333333333	2.0085	0.56785967829544
10.25	22.95	22.05	4.3	1.3	0.363333333333333	3.60714285714286	0.0772058823529412	0.616333333333333	1.28	0.447025234278154
14.87	23.85	22.725	4.4	1.71428571428571	0.361904761904762	1.64375	0.0208333333333333	0.245571428571429	0.488571428571429	0.490518135372969
